T[K] ; dTdt [K/s] ; V [Volt] ; dV/dt [Volt/s] ; IntdTdt [V] ; etime [s] 
1.04167e+02 ; 5.03949e-01 ; -7.18079e-03 ; 1.47405e-05 ; -7.09228e-03 ; 1.82899e+02 
1.04571e+02 ; 5.02341e-01 ; -7.16858e-03 ; 1.47406e-05 ; -7.08007e-03 ; 1.83913e+02 
1.05178e+02 ; 5.00904e-01 ; -7.15027e-03 ; 1.47693e-05 ; -7.06177e-03 ; 1.84928e+02 
1.05582e+02 ; 5.03185e-01 ; -7.13806e-03 ; 1.48845e-05 ; -7.04955e-03 ; 1.85930e+02 
1.05986e+02 ; 4.99136e-01 ; -7.12585e-03 ; 1.48125e-05 ; -7.03735e-03 ; 1.86933e+02 
1.06592e+02 ; 4.94780e-01 ; -7.10755e-03 ; 1.47549e-05 ; -7.01904e-03 ; 1.87935e+02 
1.06997e+02 ; 4.93650e-01 ; -7.09534e-03 ; 1.47693e-05 ; -7.00683e-03 ; 1.88931e+02 
1.07401e+02 ; 4.92038e-01 ; -7.08313e-03 ; 1.47693e-05 ; -6.99462e-03 ; 1.89946e+02 
1.07906e+02 ; 4.90024e-01 ; -7.06787e-03 ; 1.47693e-05 ; -6.97937e-03 ; 1.90960e+02 
1.08411e+02 ; 4.85463e-01 ; -7.05262e-03 ; 1.46830e-05 ; -6.96411e-03 ; 1.91964e+02 
1.08815e+02 ; 4.86233e-01 ; -7.04041e-03 ; 1.47405e-05 ; -6.95190e-03 ; 1.92963e+02 
1.09321e+02 ; 4.85293e-01 ; -7.02820e-03 ; 1.47550e-05 ; -6.93665e-03 ; 1.93962e+02 
1.09725e+02 ; 4.81797e-01 ; -7.01294e-03 ; 1.46830e-05 ; -6.92443e-03 ; 1.94956e+02 
1.10129e+02 ; 4.81140e-01 ; -7.00073e-03 ; 1.46974e-05 ; -6.91223e-03 ; 1.95987e+02 
1.10736e+02 ; 4.79917e-01 ; -6.98242e-03 ; 1.47118e-05 ; -6.89392e-03 ; 1.96990e+02 
1.11140e+02 ; 4.77850e-01 ; -6.96717e-03 ; 1.46830e-05 ; -6.88171e-03 ; 1.98007e+02 
1.11645e+02 ; 4.75039e-01 ; -6.95496e-03 ; 1.46398e-05 ; -6.86645e-03 ; 1.99005e+02 
1.12049e+02 ; 4.76710e-01 ; -6.94275e-03 ; 1.47261e-05 ; -6.85424e-03 ; 2.00019e+02 
1.12555e+02 ; 4.75297e-01 ; -6.92750e-03 ; 1.47262e-05 ; -6.83898e-03 ; 2.01033e+02 
1.13060e+02 ; 4.75272e-01 ; -6.91224e-03 ; 1.47693e-05 ; -6.82373e-03 ; 2.02049e+02 
1.13445e+02 ; 4.72290e-01 ; -6.89698e-03 ; 1.47118e-05 ; -6.81152e-03 ; 2.03050e+02 
1.13921e+02 ; 4.71798e-01 ; -6.88477e-03 ; 1.47405e-05 ; -6.79626e-03 ; 2.04064e+02 
1.14396e+02 ; 4.70384e-01 ; -6.86951e-03 ; 1.47406e-05 ; -6.78100e-03 ; 2.05066e+02 
1.14776e+02 ; 4.68335e-01 ; -6.85730e-03 ; 1.47118e-05 ; -6.76879e-03 ; 2.06068e+02 
1.15252e+02 ; 4.66009e-01 ; -6.84204e-03 ; 1.46830e-05 ; -6.75353e-03 ; 2.07067e+02 
1.15727e+02 ; 4.63689e-01 ; -6.82983e-03 ; 1.46542e-05 ; -6.73828e-03 ; 2.08091e+02 
1.16202e+02 ; 4.64551e-01 ; -6.81458e-03 ; 1.47261e-05 ; -6.72302e-03 ; 2.09108e+02 
1.16583e+02 ; 4.61156e-01 ; -6.79932e-03 ; 1.46542e-05 ; -6.71081e-03 ; 2.10107e+02 
1.17058e+02 ; 4.58394e-01 ; -6.78406e-03 ; 1.46110e-05 ; -6.69556e-03 ; 2.11145e+02 
1.17438e+02 ; 4.56371e-01 ; -6.77186e-03 ; 1.45822e-05 ; -6.68334e-03 ; 2.12135e+02 
1.17819e+02 ; 4.54351e-01 ; -6.75660e-03 ; 1.45534e-05 ; -6.67114e-03 ; 2.13153e+02 
1.18294e+02 ; 4.50318e-01 ; -6.74438e-03 ; 1.44671e-05 ; -6.65588e-03 ; 2.14154e+02 
1.18769e+02 ; 4.48652e-01 ; -6.72913e-03 ; 1.44526e-05 ; -6.64062e-03 ; 2.15153e+02 
